scan,scan_key,scan_value,a,a_over_M,betaM2,beta_display_1e4,theta_obs_deg,epsilon_pert,epsilon_ok,Delta_cel_max,Delta_cel_mean,Delta_scr_max,Delta_scr_mean,d_plus,d_minus,d0,delta_d_br,w_br,f_br,N_plus,N_minus,N_br,r_plus,rcrit_min,rcrit_max,note,1e4_Delta_cel_max,1e4_Delta_cel_mean,100_delta_d_br,100_f_br
$10^4\beta M^2$-scan,beta,0.0,0.93,0.93,0.0,0.0,85.0,0.0,True,0.0,0.0,0.0,0.0,1.1382268635588444,1.1382268635588444,1.1382268635588444,0.0,0.0,0.0,2402,2402,2402,1.0714142842854277,1.0875776787535845,3.8567310161518797,OK,0.0,0.0,0.0,0.0
$10^4\beta M^2$-scan,beta,0.3,0.93,0.93,3e-05,0.3,85.0,0.013671045385417916,True,0.060112280719225884,0.010937512996562237,0.07266880213238426,0.012128846208797204,1.122680111874945,1.1460930288618894,1.134386570368417,0.020639275533154897,0.006223712229393428,0.005486412120845313,2396,2404,2396,1.071524131765403,1.0876872698373077,3.8498738801330106,OK,601.1228071922588,109.37512996562238,2.06392755331549,0.5486412120845313
$10^4\beta M^2$-scan,beta,0.5,0.93,0.93,5e-05,0.5,85.0,0.022785075642363192,True,0.08208703092604178,0.0180935532623052,0.09911853524277474,0.02004516439030558,1.1124845985052247,1.151415414876386,1.1319500066908055,0.03439269944877988,0.010262899624641452,0.009066566159263944,2392,2406,2392,1.071597280341254,1.087760247676236,3.8453025284338893,OK,820.8703092604178,180.935532623052,3.439269944877988,0.9066566159263943
$10^4\beta M^2$-scan,beta,0.7,0.93,0.93,7e-05,0.7,85.0,0.031899105899308465,True,0.09963405641929271,0.025167642287843763,0.12016978142307001,0.027858494584327844,1.1024196876559458,1.1567737598484373,1.1295967237521916,0.04811812131673253,0.014233318384731342,0.012600353812511426,2388,2408,2388,1.0716703626742887,1.0878331594269663,3.8407312345618694,OK,996.3405641929271,251.67642287843762,4.8118121316732525,1.2600353812511427
$10^4\beta M^2$-scan,beta,1.0,0.93,0.93,0.0001,1.0,85.0,0.045570151284726385,True,0.12120971257175935,0.03564448094832046,0.14595174480358045,0.03940967349829235,1.087558661095136,1.1649322990876212,1.1262454800913786,0.06870050922309356,0.020075358511286914,0.017825029148759015,2382,2412,2382,1.0717798623771677,1.0879424035453438,3.833874402135264,OK,1212.0971257175934,356.4448094832046,6.870050922309357,1.7825029148759015
